data
Buzi
Mozambique and Zimbabwe
Congo
"Democratic Republic of the Congo, Cameroon, Republic of the Congo, Central African Republic"
Cuvelai
Angola and Namibia
Incomati
"Mozambique, South Africa and Swaziland"
Kunene
"Angola, Namibia"
Limpopo
"Botswana, Mozambique, South Africa, Zimbabwe"
Okavango
"Angola, Botswana, Namibia, Zimbabwe"
Orange-Senqu
"Botswana, Lesotho, Namibia, South Africa"
Pungwe
Mozambique and Zimbabwe
Ruvuma
Mozambique and Tanzania
Save/Sabi
Mozambique and Zimbabwe
Umbeluzi
"Mozambique, South Africa and Swaziland"
Zambezi
"Angola, Botswana, Malawi, Mozambique, Namibia, Tanzania, Zambia, Zimbabwe"
data
Buzi
Mozambique and Zimbabwe
Congo
"Democratic Republic of the Congo, Cameroon, Republic of the Congo, Central African Republic"
Cuvelai
Angola and Namibia
Incomati
"Mozambique, South Africa and Swaziland"
Kunene
"Angola, Namibia"
Limpopo
"Botswana, Mozambique, South Africa, Zimbabwe"
Okavango
"Angola, Botswana, Namibia, Zimbabwe"
Orange-Senqu
"Botswana, Lesotho, Namibia, South Africa"
Pungwe
Mozambique and Zimbabwe
Ruvuma
Mozambique and Tanzania
Save/Sabi
Mozambique and Zimbabwe
Umbeluzi
"Mozambique, South Africa and Swaziland"
Zambezi
"Angola, Botswana, Malawi, Mozambique, Namibia, Tanzania, Zambia, Zimbabwe"
